name,cuisine,price_level,lat,lon,image_url,category,category_international,opening_hours,address,facebook,phone,email,url,RunDate
สมรส ฟู้ด แอนด์ มอร์ พหลโยธิน 13,เครื่องดื่ม/น้ำผลไม้,ต่ำกว่า 100 บาท,13.78798995,100.5471444,https://img.wongnai.com/p/_-x_/2021/05/19/9b56ab63f7f645aaadcd6d9d70f43456.jpg,เครื่องดื่ม/น้ำผลไม้,Beverage/Juice,"{'open': False, 'message': '24 ชั่วโมง', 'temporaryCloseStartDate': None, 'temporaryCloseEndDate': None, 'closingSoon': False}","{'street': '4/2 ซอยพหลโยธิน 13 ถนนพหลโยธิน', 'hint': '', 'subDistrict': {'id': 36724, 'name': 'สามเสนใน'}, 'district': {'id': 72, 'name': 'พญาไท'}, 'city': {'id': 1, 'name': 'กรุงเทพมหานคร'}}",https://www.facebook.com/https://www.facebook,966755359,somros.fb@gmail.com,https://www.wongnai.com/delivery/businesses/455013oW,6/29/2021 11:55
บ้านป้าอาหารแช่แข็ง,อื่นๆ,-,13.5851554,100.7944113,https://img.wongnai.com/p/_-x_/2021/01/18/ec7d399c142e47bc9a18577b285caa9f.jpg,อื่นๆ,Other,"{'open': False, 'message': 'จะเปิดในวันพุธ เวลา 10:30', 'temporaryCloseStartDate': None, 'temporaryCloseEndDate': None, 'closingSoon': False}","{'street': '201/ข หมู่1 ห้างเยส บางพลี, ถนน เทพารักษ์ ตำบลบางเสาธง อำเภอบางเสาธง สมุทรปราการ ประเทศไทย', 'hint': '', 'subDistrict': {'id': 963, 'name': 'บางเสาธง'}, 'district': {'id': 962, 'name': 'บางเสาธง'}, 'city': {'id': 931, 'name': 'สมุทรปราการ'}}",-,633398924,-,https://www.wongnai.com/delivery/businesses/615284Wc,6/29/2021 11:55
กระเพราโบราณสูตรพริกแห้ง-รามคำแหง107,อาหารตามสั่ง,-,13.76640218,100.6532786,https://img.wongnai.com/p/_-x_/2021/04/13/8ef86ed66d004c2683bcb7055c8ffe0e.jpg,อาหารตามสั่ง,À La Carte,"{'open': False, 'message': 'จะเปิดในเวลา 09:00', 'temporaryCloseStartDate': None, 'temporaryCloseEndDate': None, 'closingSoon': False}","{'street': '239 อัสกาญเพลส อาคาร2 ซอย รามคำแหง 107 แขวง หัวหมาก เขตบางกะปิ กรุงเทพมหานคร ประเทศไทย', 'hint': '', 'subDistrict': {'id': 41, 'name': 'หัวหมาก'}, 'district': {'id': 39, 'name': 'บางกะปิ'}, 'city': {'id': 1, 'name': 'กรุงเทพมหานคร'}}",-,942528178,-,https://www.wongnai.com/delivery/businesses/842080SE,6/29/2021 11:55
Shickin Fried Chicken (สาขา สวนเพลิน มาร์เก็ต),อาหารนานาชาติ,-,13.71650477,100.5716037,https://img.wongnai.com/p/_-x_/2021/04/23/211202192d5f479d9ba2746579743370.jpg,อาหารนานาชาติ,International Food,"{'open': False, 'message': 'จะเปิดในเวลา 10:00', 'temporaryCloseStartDate': None, 'temporaryCloseEndDate': None, 'closingSoon': False}","{'street': '3654 ถนนพระรามที่ ๔ แขวง คลองตัน เขตคลองเตย กรุงเทพมหานคร ประเทศไทย', 'hint': '', 'subDistrict': {'id': 157, 'name': 'คลองตัน'}, 'district': {'id': 155, 'name': 'คลองเตย'}, 'city': {'id': 1, 'name': 'กรุงเทพมหานคร'}}",-,963694514,-,https://www.wongnai.com/delivery/businesses/862460Ow,6/29/2021 11:55
หม่าล่าจี๊ดจ๊าด By เจ้ส้มจี๊ด สาขาเพชรเกษม77,สตรีทฟู้ด/รถเข็น,101 - 250 บาท,13.7027625,100.3576659,https://img.wongnai.com/p/_-x_/2020/04/10/fe6b2c4274484641b8386405e28d1828.jpg,สตรีทฟู้ด/รถเข็น,Street Food,"{'open': True, 'message': 'จนถึง 22:00', 'temporaryCloseStartDate': None, 'temporaryCloseEndDate': None, 'closingSoon': False}","{'street': 'ซอย เพชรเกษม 77', 'hint': 'ร้านอยู่ตรงข้าม 7_11 สาขา77แยก4', 'subDistrict': {'id': 120, 'name': 'หนองค้างพลู'}, 'district': {'id': 118, 'name': 'หนองแขม'}, 'city': {'id': 1, 'name': 'กรุงเทพมหานคร'}}",-,923636382,-,https://www.wongnai.com/delivery/businesses/421951Cl,6/29/2021 11:55
เย็นตาโฟวาโก้,ก๋วยเตี๋ยว/อาหารไทย,ต่ำกว่า 100 บาท,13.691088,100.514598,https://img.wongnai.com/p/_-x_/2020/07/29/6d5dcb6b660940b0aca2f9031fdca769.jpg,ก๋วยเตี๋ยว/อาหารไทย,Noodles/Thai,"{'open': False, 'message': 'จะเปิดในวันพุธ เวลา 06:30', 'temporaryCloseStartDate': None, 'temporaryCloseEndDate': None, 'closingSoon': False}","{'street': '4236/209 ถนน พระราม 3', 'hint': 'ใกล้กับบริษัทไทยวาโก้ จำกัด', 'subDistrict': {'id': 150, 'name': 'บางโคล่'}, 'district': {'id': 147, 'name': 'บางคอแหลม'}, 'city': {'id': 1, 'name': 'กรุงเทพมหานคร'}}",https://www.facebook.com/เย็นตาโฟวาโก้,"8,640,655,700,851,360,000",sathy-pumpim@hotmail.com,https://www.wongnai.com/delivery/businesses/338590LT,6/29/2021 11:55
แก้วใจอาหารตามสั่ง,อาหารไทย,-,13.8230278,100.6983322,https://img.wongnai.com/p/_-x_/2021/05/30/4307387ecb11436684e5d0fcf05abbba.jpg,อาหารไทย,Thai,"{'open': False, 'message': 'จะเปิดในเวลา 08:00', 'temporaryCloseStartDate': None, 'temporaryCloseEndDate': None, 'closingSoon': False}","{'street': '56 ซอย พระยาสุเรนทร์ 7 แขวง บางชัน เขตคลองสามวา กรุงเทพมหานคร ประเทศไทย', 'hint': 'เลยอาพาร์เม้นมานิดนึ่งบ้านอยู่ด้านขวามือค่ะ', 'subDistrict': {'id': 207, 'name': 'บางชัน'}, 'district': {'id': 204, 'name': 'คลองสามวา'}, 'city': {'id': 1, 'name': 'กรุงเทพมหานคร'}}",-,628949462,-,https://www.wongnai.com/delivery/businesses/933840kY,6/29/2021 11:55
BNP cuisine คู้บอน 44-42,อาหารจานเดียว/อาหารกล่อง/ข้าวกล่อง เดลิเวอรี/อาหารไทย,ต่ำกว่า 100 บาท,13.855575,100.686267,https://img.wongnai.com/p/_-x_/2020/03/08/e5492f8256894363a24ae5e7b1bcc57d.jpg,อาหารจานเดียว/อาหารกล่อง/ข้าวกล่อง เดลิเวอรี/อาหารไทย,Rice Dish/Delivery Only/Thai,"{'open': False, 'message': 'จะเปิดในเวลา 10:00', 'temporaryCloseStartDate': None, 'temporaryCloseEndDate': None, 'closingSoon': False}","{'street': '86/1 ซอยไม่มีเลขที่ระหว่าง ซอยคู้บอน 44 -42 บางชัน เขตคลองสามวา กรุงเทพมหานคร 10510', 'hint': 'อยู่ระหว่างซอยคู้บอน 44-42 หน้าปากซอยมีร้านป.ประทีปและเต้นท์รถ เข้ามาสุดซอยอยู่ขวามือ หน้าร้านมีป้ายเหลาออนไลน์', 'subDistrict': {'id': 207, 'name': 'บางชัน'}, 'district': {'id': 204, 'name': 'คลองสามวา'}, 'city': {'id': 1, 'name': 'กรุงเทพมหานคร'}}",-,"9,537,002,710,644,760,000",bnpcuisine@gmail.com,https://www.wongnai.com/delivery/businesses/501329zy,6/29/2021 11:55
Anna Viet Nam food,อาหารเวียดนาม,-,13.1500326,100.9708809,https://img.wongnai.com/p/_-x_/2021/05/04/bf1ce8e3e5c74265aafa2d08565fffbb.jpg,อาหารเวียดนาม,Vietnam,"{'open': True, 'message': 'จนถึง 21:00', 'temporaryCloseStartDate': None, 'temporaryCloseEndDate': None, 'closingSoon': False}","{'street': '60/137 ถนน ศรีราชา-หนองยายบู่ ตำบลสุรศักดิ์ อำเภอศรีราชา ชลบุรี ประเทศไทย', 'hint': '', 'subDistrict': {'id': 358, 'name': 'สุรศักดิ์'}, 'district': {'id': 352, 'name': 'ศรีราชา'}, 'city': {'id': 269, 'name': 'ชลบุรี'}}",-,626280216,-,https://www.wongnai.com/delivery/businesses/888963Do,6/29/2021 11:55
Hachiban Ramen โรบินสัน สมุทรปราการ,อาหารญี่ปุ่น,101 - 250 บาท,13.584255,100.608641,https://img.wongnai.com/p/_-x_/2014/11/20/9cb27694ba154ef6a5caa88302d35099.jpg,อาหารญี่ปุ่น,Japanese,"{'open': False, 'message': 'จะเปิดในวันพุธ เวลา 10:00', 'temporaryCloseStartDate': None, 'temporaryCloseEndDate': None, 'closingSoon': False}","{'street': 'ท้ายบ้านใหม่, อ.เมืองสมุทรปราการ, สมุทรปราการ, 10280, ประเทศไทย', 'hint': 'ทางเข้าด้านหน้า ตรงข้ามสตาร์บัคส์', 'subDistrict': {'id': 934, 'name': 'ท้ายบ้านใหม่'}, 'district': {'id': 932, 'name': 'เมืองสมุทรปราการ'}, 'city': {'id': 931, 'name': 'สมุทรปราการ'}}",-,02-174-2787,-,https://www.wongnai.com/delivery/businesses/178785qA,6/29/2021 11:55
ไข่ดองเด็ดมาก ไข่ดองเด็ดมาก กระทุ่มแบน,สตรีทฟู้ด/รถเข็น,101 - 250 บาท,13.66996108,100.2782334,https://img.wongnai.com/p/_-x_/2020/09/21/7f3df7d04ab54041a32dd7f7e8272c62.jpg,สตรีทฟู้ด/รถเข็น,Street Food,"{'open': True, 'message': 'จนถึง 21:30', 'temporaryCloseStartDate': None, 'temporaryCloseEndDate': None, 'closingSoon': False}","{'street': '107/404 ม.พุทธชาด ต.ท่าไม้ อ.กระทุ่มแบน จ.สมุทรสาคร 74110', 'hint': 'หมู่บ้านพุทธชาด ซอย4', 'subDistrict': {'id': 6793, 'name': 'ท่าไม้'}, 'district': {'id': 6790, 'name': 'กระทุ่มแบน'}, 'city': {'id': 6770, 'name': 'สมุทรสาคร'}}",-,927705528,-,https://www.wongnai.com/delivery/businesses/633977lx,6/29/2021 11:55
ครัว อิ่ม อร่อย,อาหารไทย,ต่ำกว่า 100 บาท,13.60913624,100.6115944,https://img.wongnai.com/p/_-x_/2021/02/26/d8825cbd6b2e42cda907359826eac7e2.jpg,อาหารไทย,Thai,"{'open': False, 'message': 'จะเปิดในวันพุธ เวลา 09:00', 'temporaryCloseStartDate': None, 'temporaryCloseEndDate': None, 'closingSoon': False}","{'street': '88/44ซอย อยู่สุข 24 ตำบล บางเมือง อำเภอเมืองสมุทรปราการ สมุทรปราการ ประเทศไทย', 'hint': '', 'subDistrict': {'id': 940, 'name': 'บางเมือง'}, 'district': {'id': 932, 'name': 'เมืองสมุทรปราการ'}, 'city': {'id': 931, 'name': 'สมุทรปราการ'}}",-,953298355,-,https://www.wongnai.com/delivery/businesses/711933kt,6/29/2021 11:55
กิมจิ ไก่ทอดเกาหลี,อาหารเกาหลี,-,13.72306571,100.46171,https://img.wongnai.com/p/_-x_/2021/06/05/88fda3687c6e47d9be2e705090a6f8e9.jpg,อาหารเกาหลี,Korean,"{'open': False, 'message': 'จะเปิดในวันพุธ เวลา 15:00', 'temporaryCloseStartDate': None, 'temporaryCloseEndDate': None, 'closingSoon': False}","{'street': '338 ซอย เพชรเกรษมกรุงเทพมหานคร ประเทศไทย', 'hint': '', 'subDistrict': {'id': 116, 'name': 'ปากคลองภาษีเจริญ'}, 'district': {'id': 110, 'name': 'ภาษีเจริญ'}, 'city': {'id': 1, 'name': 'กรุงเทพมหานคร'}}",-,873286320,-,https://www.wongnai.com/delivery/businesses/940461xm,6/29/2021 11:55
ทิพย์เบเกอรี่ เสาชิงช้า,เบเกอรี/เค้ก,ต่ำกว่า 100 บาท,13.754549,100.501247,https://img.wongnai.com/p/_-x_/2021/03/12/2f00fa4b906e44a8815aeda551c35521.jpg,เบเกอรี/เค้ก,Bakery/Cake,"{'open': False, 'message': 'จะเปิดในวันพุธ เวลา 09:30', 'temporaryCloseStartDate': None, 'temporaryCloseEndDate': None, 'closingSoon': False}","{'street': '154/1, ถนนดินสอ, เสาชิงช้า, กรุงเทพมหานคร, 10200, ประเทศไทย', 'hint': 'ตรงข้ามศาลาว่าการกรุงเทพมหานคร เลยร้านมนต์นมสดขึ้นมาทางอนุสาวรีย์ อยู่ใกล้7-11', 'subDistrict': {'id': 8, 'name': 'เสาชิงช้า'}, 'district': {'id': 2, 'name': 'พระนคร'}, 'city': {'id': 1, 'name': 'กรุงเทพมหานคร'}}",https://www.facebook.com/ChouxTimeByTB/,"820,075,222,022,241,000",Chouxtimebytb@gmail.com,https://www.wongnai.com/delivery/businesses/301694rt,6/29/2021 11:55
เก๋-ยู อาหารทะเล,อาหารทะเล,-,9.949702,98.6209653,https://img.wongnai.com/p/_-x_/2021/04/29/af46d900db8a48fe9bca8c278f2da14e.jpg,อาหารทะเล,Seafood,"{'open': False, 'message': 'จะเปิดในวันอาทิตย์ เวลา 09:00', 'temporaryCloseStartDate': None, 'temporaryCloseEndDate': None, 'closingSoon': False}","{'street': '200 43 ซอย มิตรภาพ แยก 3 ตำบล บางริ้น อำเภอเมืองระนอง ระนอง ประเทศไทย', 'hint': '', 'subDistrict': {'id': 5608, 'name': 'บางริ้น'}, 'district': {'id': 5604, 'name': 'เมืองระนอง'}, 'city': {'id': 5603, 'name': 'ระนอง'}}",-,835075971,-,https://www.wongnai.com/delivery/businesses/877244hW,6/29/2021 11:55
เด็กระยำ,อาหารอีสาน/ร้านส้มตำ,ต่ำกว่า 100 บาท,13.59401026,100.5715894,https://img.wongnai.com/p/_-x_/2021/05/08/10981e08029a4b8e9d4a55a0b541e8f7.jpg,อาหารอีสาน/ร้านส้มตำ,Isan Food,"{'open': True, 'message': 'จนถึง 23:59', 'temporaryCloseStartDate': None, 'temporaryCloseEndDate': None, 'closingSoon': False}","{'street': '76 ซอย ตาชั้น ตำบล ปากคลองบางปลากด อำเภอพระสมุทรเจดีย์ สมุทรปราการ ประเทศไทย', 'hint': 'ตึกสำนักงานภูมิใจ ติดถนนสุขสวัสดิ์ จุดกลับรถ ปตท. พระสมุทรเจดีย์', 'subDistrict': {'id': 986, 'name': 'ปากคลองบางปลากด'}, 'district': {'id': 982, 'name': 'พระสมุทรเจดีย์'}, 'city': {'id': 931, 'name': 'สมุทรปราการ'}}",-,984581512,-,https://www.wongnai.com/delivery/businesses/746065Tk,6/29/2021 11:55
ครัวในบ้าน,อาหารจานเดียว,-,13.602712,100.612083,https://img.wongnai.com/p/_-x_/2021/06/10/ac553763f05d42859c51f01cdf4e78f7.jpg,อาหารจานเดียว,Rice Dish,"{'open': True, 'message': 'จนถึง 23:59', 'temporaryCloseStartDate': None, 'temporaryCloseEndDate': None, 'closingSoon': False}","{'street': '220/163 ซอย หมู่บ้านเพ็นโก้วิล 2 ตำบล บางเมือง อำเภอเมืองสมุทรปราการ สมุทรปราการ ประเทศไทย', 'hint': '', 'subDistrict': {'id': 25637, 'name': 'สมุทรปราการ'}, 'district': {'id': 932, 'name': 'เมืองสมุทรปราการ'}, 'city': {'id': 931, 'name': 'สมุทรปราการ'}}",-,659219036,-,https://www.wongnai.com/delivery/businesses/947031Ez,6/29/2021 11:55
ใส้กรอกอีสานแม่ช่อ,อาหารเช้า,-,13.819622,100.0572695,https://img.wongnai.com/p/_-x_/2021/04/20/0096fb7e9d3a4235ab81a90dd1c7d1dd.jpg,อาหารเช้า,Breakfast/Brunch,"{'open': False, 'message': 'จะเปิดในเวลา 17:00', 'temporaryCloseStartDate': None, 'temporaryCloseEndDate': None, 'closingSoon': False}","{'street': '3 ราชดำเนิน ซอย 5 ตำบลพระปฐมเจดีย์ อำเภอเมืองนครปฐม นครปฐม ประเทศไทย', 'hint': '', 'subDistrict': {'id': 614, 'name': 'พระปฐมเจดีย์'}, 'district': {'id': 603, 'name': 'เมืองนครปฐม'}, 'city': {'id': 602, 'name': 'นครปฐม'}}",-,638877799,-,https://www.wongnai.com/delivery/businesses/853023bx,6/29/2021 11:55
ย่างไปยำไป,ปิ้งย่าง,ต่ำกว่า 100 บาท,13.64680022,100.6117773,https://img.wongnai.com/p/_-x_/2020/12/25/a1ca393adc1f4e41a4beb3a163db67eb.jpg,ปิ้งย่าง,Grill/BBQ,"{'open': False, 'message': 'จะเปิดในวันพุธ เวลา 11:00', 'temporaryCloseStartDate': None, 'temporaryCloseEndDate': None, 'closingSoon': False}","{'street': '18/45 ซอย กัญญา 17 ตำบล สำโรงเหนือ อำเภอเมืองสมุทรปราการ สมุทรปราการ ประเทศไทย', 'hint': '', 'subDistrict': {'id': 945, 'name': 'สำโรงเหนือ'}, 'district': {'id': 932, 'name': 'เมืองสมุทรปราการ'}, 'city': {'id': 931, 'name': 'สมุทรปราการ'}}",-,955286164,-,https://www.wongnai.com/delivery/businesses/704769JN,6/29/2021 11:55
ศักดิ์สิทธิ์เบเกอรี่,เครื่องดื่ม/น้ำผลไม้,-,13.58478052,100.7106669,https://img.wongnai.com/p/_-x_/2021/01/11/bd8f6fa1b1fe4b5b917c5d752ae5435b.jpg,เครื่องดื่ม/น้ำผลไม้,Beverage/Juice,"{'open': False, 'message': 'จะเปิดในวันพุธ เวลา 09:00', 'temporaryCloseStartDate': None, 'temporaryCloseEndDate': None, 'closingSoon': False}","{'street': '14 Soi Rattanachok 4 ตำบล บางพลีใหญ่ อำเภอบางพลี สมุทรปราการ ประเทศไทย', 'hint': '', 'subDistrict': {'id': 959, 'name': 'บางพลีใหญ่'}, 'district': {'id': 955, 'name': 'บางพลี'}, 'city': {'id': 931, 'name': 'สมุทรปราการ'}}",-,859641840,-,https://www.wongnai.com/delivery/businesses/724637LO,6/29/2021 11:55
